[2026-02-15 16:12:08] Conectado ao CLP na porta COM2.
[2026-02-15 16:12:11] Monitor iniciado para 12 TAGs.
[2026-02-15 16:14:02] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [116, 0].
[2026-02-15 16:14:02] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [116, 0].
[2026-02-15 16:14:02] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [117, 0].
[2026-02-15 16:14:03] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [117, 0].
[2026-02-15 16:14:03] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [117, 0].
[2026-02-15 16:14:04] Alteracao salva: TAG PECAPH29 (DM 0..1) = [118, 0].
[2026-02-15 16:14:05] Alteracao salva: TAG PECAPH30 (DM 2..3) = [119, 0].
[2026-02-15 16:14:06] Alteracao salva: TAG PECAPH31 (DM 4..5) = [120, 0].
[2026-02-15 16:14:06] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [120, 0].
[2026-02-15 16:14:06] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [121, 0].
[2026-02-15 16:14:07] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [121, 0].
[2026-02-15 16:14:07] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [128, 0].
[2026-02-15 16:14:08] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [128, 0].
[2026-02-15 16:14:08] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [128, 0].
[2026-02-15 16:14:09] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [129, 0].
[2026-02-15 16:14:09] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [130, 0].
[2026-02-15 16:14:10] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [130, 0].
[2026-02-15 16:14:11] Alteracao salva: TAG PECAPH29 (DM 0..1) = [130, 0].
[2026-02-15 16:14:12] Alteracao salva: TAG PECAPH30 (DM 2..3) = [132, 0].
[2026-02-15 16:14:12] Alteracao salva: TAG PECAPH31 (DM 4..5) = [132, 0].
[2026-02-15 16:14:12] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [133, 0].
[2026-02-15 16:14:13] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [133, 0].
[2026-02-15 16:14:13] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [133, 0].
[2026-02-15 16:14:13] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [134, 0].
[2026-02-15 16:14:14] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [134, 0].
[2026-02-15 16:14:14] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [135, 0].
[2026-02-15 16:14:15] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [135, 0].
[2026-02-15 16:14:15] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [135, 0].
[2026-02-15 16:14:15] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [136, 0].
[2026-02-15 16:14:17] Alteracao salva: TAG PECAPH29 (DM 0..1) = [136, 0].
